d,b,t,r_out,n_r,area,ixx,iyy,ixy,g_eff,section_type,valid
155.47663560975397,88.51600370373771,3.218044159337806,14.803409321223032,4,1444.0147012852005,912463959787.8069,390036880004.76624,0.0008544921875,76923.07692307663,rectangular_hollow_section,True
20.460535637131265,142.3352649087692,8.35342000080871,19.383882283601036,4,,,,,,rectangular_hollow_section,False
114.90502528340687,98.43578540041963,4.449834019133212,17.358819103916723,4,1684.7715981460592,622965966187.6184,493676853637.91174,0.0003662109375,76923.07692307667,rectangular_hollow_section,True
243.59826858960903,114.65286679180963,3.6442377111325746,12.364730096141741,4,2481.143158331948,3782082353015.4014,1194749475100.1104,-0.017578125,76923.07692307662,rectangular_hollow_section,True
92.85337416728984,139.7581873670129,6.376574702417271,12.840525058473517,4,2680.7907482249493,727219953207.4963,1374511024807.913,0.001220703125,76923.07692307688,rectangular_hollow_section,True
61.25739910888578,129.7329097214878,10.87352512728784,18.46624086510134,4,3397.1889300833877,342146473253.4896,1181884595901.5117,-0.006591796875,76923.07692307694,rectangular_hollow_section,True
207.86073075125037,107.28675327380512,5.827528996386267,19.67929067750279,4,3341.818645874179,3602088992969.128,1308164826178.947,0.0244140625,76923.0769230766,rectangular_hollow_section,True
194.19857178289087,66.16517062275176,9.229946769240383,17.0345541894928,4,4236.255157186104,3348980376604.4307,576114722869.4551,0.0068359375,76923.07692307673,rectangular_hollow_section,True
99.38448466672152,68.49992890020619,12.383191704166373,15.162093274326333,4,3322.3492290303197,722222495132.4685,385678052929.1332,0.000244140625,76923.07692307676,rectangular_hollow_section,True
77.70788516506502,136.64035597591084,17.61547678468918,18.278266829293337,4,5976.817094268259,859069738794.4602,2292494028173.4316,-0.0009765625,76923.07692307705,rectangular_hollow_section,True
274.21988570447274,263.1278644071931,9.018590320942751,9.28734056194158,4,9280.716082745643,21437317122632.758,20113350050788.367,-0.09375,76923.07692307702,rectangular_hollow_section,True
273.25416446665963,242.57204613495077,2.5717284591032143,9.414569475449564,4,2584.8650972085625,6067216132191.143,5072550994520.472,-0.01171875,76923.07692307691,rectangular_hollow_section,True
131.15029819744302,207.37447779193354,13.927986862330496,16.71632369100831,4,8382.321337485244,4291180028877.826,8990516286687.586,-0.009765625,76923.07692307698,rectangular_hollow_section,True
224.7037912402936,24.853734679996386,2.1657628395476918,16.418514224023497,4,,,,,,rectangular_hollow_section,False
100.81053444147206,75.91200305178432,17.385903722916076,16.927638496958952,4,4649.338506920607,975277840930.5156,592044776324.3254,-0.00048828125,76923.0769230766,rectangular_hollow_section,True
268.07896387363655,78.0000975688227,19.007482382563992,8.871008051724196,4,11632.350996736006,16656777550868.203,1853758581974.0098,0.021484375,76923.07692307657,rectangular_hollow_section,True
238.1368833709574,133.0485354848293,9.605958955995673,11.255956073137305,4,6638.111950694452,9701978012312.836,3863670504629.4053,0.015625,76923.0769230771,rectangular_hollow_section,True
270.7579315644764,77.46947722693483,16.971120992841755,15.668060560737274,4,10422.055062496096,15143443627388.781,1712198378766.227,0.021484375,76923.07692307653,rectangular_hollow_section,True
226.1619313357502,263.63684340546905,3.8129923326556914,16.985889113114258,4,3562.047083774906,6001922438147.369,7554049137791.383,-0.044921875,76923.07692307662,rectangular_hollow_section,True
163.05047776429882,219.84677842359096,5.52271296206949,9.12402475273137,4,4036.9834648587134,3570583569007.8555,5647716485968.045,-0.015625,76923.07692307704,rectangular_hollow_section,True
85.83256569122543,227.97013947451418,15.518905836356552,11.851082564817087,4,8635.955353933197,1817445100995.0015,9626870204575.3,-0.0087890625,76923.07692307662,rectangular_hollow_section,True
186.11876853067864,293.83817268304205,16.967401032253782,13.986889051627339,4,14940.039943074402,15991578584376.188,33361785655640.85,0.1328125,76923.07692307729,rectangular_hollow_section,True
233.42056137299878,239.13750243335272,8.279036563175808,12.57501791882054,4,7410.805571444667,12488488344331.668,12962257999468.988,-0.0078125,76923.07692307669,rectangular_hollow_section,True
117.13955983739314,203.50773912068775,5.836190624097384,18.386412952689874,4,3425.9209348695586,1580105161571.3687,3676585886051.2764,0.00927734375,76923.07692307678,rectangular_hollow_section,True
44.574339145524476,171.38503832169414,13.781447021100572,9.927278265795247,4,5094.201456800505,233308038425.86664,2759612591848.0283,-0.0029296875,76923.07692307698,rectangular_hollow_section,True
218.93998488461304,108.96192678658119,15.311138992547237,18.779263357563288,4,8762.746736401177,9583063327325.727,3038417851118.1816,-0.015625,76923.07692307701,rectangular_hollow_section,True
145.07436566351134,268.2469297767045,10.936929419452927,15.900639103260188,4,8334.27406100162,5751203270785.136,15178352924028.066,-0.0234375,76923.0769230772,rectangular_hollow_section,True
179.99610100062915,244.20744344894962,8.717081787602307,8.14028995481745,4,7025.419602999972,7396043829804.979,11902587226866.102,0.017578125,76923.07692307665,rectangular_hollow_section,True
251.54044743314458,239.63623982137761,15.242899313713181,18.54804185024387,4,13711.423770884481,24926151117545.477,23092302700026.117,-0.0390625,76923.07692307673,rectangular_hollow_section,True
72.20686509052376,266.19270023054776,14.297529486829724,19.91656382443642,4,8493.782161624216,1265547901851.3032,11731084357633.828,0.0439453125,76923.07692307676,rectangular_hollow_section,True
21.77229913218751,140.72582004833737,4.041561262052168,16.386292501331724,4,,,,,,rectangular_hollow_section,False
204.73360865448265,196.17472261372194,14.50132014347995,17.41302258845579,4,10491.511631664343,12366201358134.312,11554852791296.336,0.09765625,76923.07692307686,rectangular_hollow_section,True
38.877989512428705,87.58131179659591,6.2711764564042145,17.89769042407508,4,1243.6350740599653,50501577778.05499,182022055909.95337,0.0,76923.076923077,rectangular_hollow_section,True
156.70259786734158,101.75339283169914,14.934007415999858,12.882819093400741,4,6661.50202582037,3893119610164.9043,1890384127195.0474,0.005859375,76923.07692307685,rectangular_hollow_section,True
235.7745748683076,56.78866868920396,3.5883835469451317,8.619330921025306,4,1999.1698392799958,2393027079201.415,246923613724.3736,-0.002685546875,76923.07692307702,rectangular_hollow_section,True
