section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength
i_section,True,219.99331574234407,60.08211715939891,16.102008069001634,19.65873807909793,18.206381914281383,8,5919.842002231876,0.4055293340048507,0.673720648222649,33365758.018887654,761843.013785647,3.7592000735599255e-08,142878.63494622745,0.2498358333573234,627.9814632542816
i_section,True,218.67989224737352,101.36482895215772,19.04553336502142,10.479593400650787,14.952111594372758,8,5951.381998632245,0.593593376621135,0.37549584357941623,45224847.83939352,3339756.518879334,-7.531824834934718e-08,77794.89205355087,0.2583209205896339,764.3540233166831
i_section,True,150.8340559413559,189.26192575255888,20.131272237515844,11.651259690623714,13.691083390788064,8,9074.298663287205,0.7362516521972206,0.17962903614337372,34566680.56428457,22775242.647307083,2.7389469111764795e-07,117660.41308977944,0.25765624260857617,702.9794814610302
i_section,True,153.306185276517,58.2129659775145,25.86260373297209,20.406344028887617,12.84384311227456,8,5229.919186125265,0.566962747089768,0.5618847565754006,14511990.906171298,948295.4398924113,3.4281469790323403e-09,71216.4987362687,0.2836414410046928,765.959259952173
i_section,True,245.6544351441726,244.17924205534104,11.20479685668211,14.11406370209432,19.976091318517376,8,8975.88670933872,0.5705762012123556,0.34976717282435227,92390260.16767265,27293219.373901393,-5.592639138848388e-07,80323.21393303791,0.27858347953892343,657.3896682964903
i_section,True,353.37059826826345,114.6784674416146,24.360150667962667,28.603316964005053,13.31892462695621,8,14458.119978686698,0.40515685024093323,0.64156251468462,222372083.77530575,6765447.125198534,8.836820832219036e-07,123771.888189946,0.2856754187674058,690.7602512615995
i_section,True,252.0799196811627,270.43210058608446,17.40305687934774,10.534573532380126,17.516102720248405,8,11973.017683801174,0.6896421163163295,0.20859287352841283,141814729.4421116,57412796.23790339,-1.0902379024839343e-06,89573.33970641243,0.2320756393654175,679.3042042961964
i_section,True,243.0225174633162,225.18909528503778,20.084046568646706,24.717270591340554,8.041194272098132,8,14116.630111847966,0.5737545037465188,0.36408048888546757,130458318.99841948,38491447.60114381,1.1472438447484205e-06,173649.8747950892,0.26198789989819554,495.8559054295532
i_section,True,151.59814462393976,86.12925704107434,11.497261157019171,29.077500314462885,18.025262890669552,8,6007.423208441162,0.5619684410457073,0.6626556190707926,15939385.016858729,1591178.593995233,1.8846455569524623e-08,90679.35181209816,0.3059480650484191,686.3322379711627
i_section,True,265.74582480696415,76.81534645538775,9.829035687016773,11.354787052399114,17.578377655104152,8,4577.689474039744,0.36225672620075594,0.6271414232030297,42715433.361153096,801302.6863473168,-1.6993052371205782e-08,71835.42416831745,0.32130113532419863,584.2149615126655
i_section,True,385.5920645216245,200.5208580209538,13.692916798797029,22.33584459858315,17.289099068855087,8,13756.71991249605,0.3954338705977724,0.5770374822292101,283631833.20958644,18796140.9073863,0.0,145886.88210638883,0.23639616109540074,537.9845640844136
i_section,True,316.1945726053551,259.29208274594555,18.78790110681481,19.888177481594063,9.154857313821347,8,15358.476109019935,0.556124611092671,0.3635738178523782,252975714.44539928,54781305.11486391,-5.2062512261462737e-08,150059.9886683321,0.2604774510002782,632.576194563433
i_section,True,342.05138261348566,226.418081383295,21.268278198320697,12.471819372664402,11.340979781120234,8,13480.32937809358,0.6157437405960077,0.29797007431103817,278517016.86654866,41202561.1894532,1.4763770999181498e-06,84666.7155748555,0.3076049201468575,676.9551097206827
i_section,True,202.2048760416127,120.5367170621595,10.662612155168055,18.116414074440627,18.113921341393365,8,6137.648054736221,0.4698247461433902,0.5538123635015282,34701712.98259335,3255841.991035151,-1.1201402202013376e-07,69745.73235657725,0.34807346766256875,586.7300257936191
i_section,True,130.07429147961045,150.90771671398062,29.361591634509896,11.494033485071416,14.036062558934084,8,9856.19057434324,0.7826516208868836,0.15713563089217827,23641125.35549267,16841797.88450947,-7.042271769918061e-08,76269.33361111247,0.3087975333066565,718.7762773475118
i_section,True,105.19108933278058,91.8437531060053,17.2140253064585,16.29535087681169,14.093966721808656,8,4490.848018688702,0.6962780079201726,0.3595708848003658,6860928.016543395,2272178.8115987293,7.922399301790849e-09,77041.252182534,0.35258826599454784,685.5849772516658
i_section,True,291.7274374515272,99.44026750033638,24.585635122165815,25.13173148739619,10.085974678661376,8,11075.459211062884,0.4365537685882947,0.6068432474852862,118643788.89483564,4370249.887260118,2.1460875893567808e-07,91008.63402249975,0.2995732228566512,560.3810203202522
i_section,True,368.6620522886039,117.00805487394446,11.8498320457193,24.881732319954533,10.759387634118031,8,11458.730986077506,0.2884135653867512,0.7279963073307065,176373307.44016463,3629768.7041239995,-2.632742519705208e-07,81604.54294028586,0.3298038813664651,531.548056995174
i_section,True,102.77526757482792,175.79455150606125,22.0649687991392,19.61189347139034,15.311954889537578,8,9115.373365749343,0.7754209648759149,0.1885376506144613,13418566.892524384,20054074.510661177,2.2030899165045602e-08,66490.42052374025,0.32648524394709,573.3858539972174
i_section,True,136.60690049054847,147.62501173755913,17.498569623717117,26.045844683178327,12.840037987090911,8,7958.823752807108,0.6421906776154217,0.37604366973251463,21068007.76196873,9570368.199219668,7.012659662963462e-08,76591.39339624309,0.33908556393873446,596.4114808725884
i_section,True,165.75394205157954,140.69501239167334,28.288471923733493,9.157945289908065,14.753756203786917,8,9152.507887555485,0.754627909678461,0.17113683652153996,39635970.22206933,13151583.632792177,3.7336985628558184e-07,70619.4864317926,0.3487108932124743,613.9735886555189
i_section,True,348.87017514978015,50.98693543970718,13.645350125371621,10.185909231208822,8.401605658573779,8,4729.497301637933,0.14304030999635584,0.6988439914587125,68918145.19323276,332996.6939377714,-4.655427118791677e-08,73419.01532951371,0.4419956284064308,698.413190517113
i_section,True,350.7484430300683,99.04001901524182,11.170804350223982,20.728011762339968,10.565973493784997,8,9118.702575810314,0.26706423044864847,0.7283008478731928,127578205.19656506,2068937.7702528592,2.088411645533858e-07,70141.52373324579,0.4005105402798169,721.0104430659859
i_section,True,291.7348352455959,223.0663120737307,17.220405279378532,9.055071725536694,11.12430031528092,8,10121.882977058925,0.6523132724171252,0.24728104931178826,159520935.198679,31878090.500680383,-2.49764818150323e-07,70378.70717812811,0.39917005402898303,630.6146901733208
i_section,True,145.5955030212575,188.5109512291665,13.328555352601015,21.028386866563878,18.402109022784657,8,7825.834867207699,0.6322964608359082,0.32967101509182706,25920414.355610073,15042044.684174627,1.152060559012147e-07,76289.93485842727,0.45059092480563595,536.0764834397506
i_section,True,241.10405000958775,287.9218612558411,12.45845992186042,14.679481452302488,9.390671169112338,8,10425.658524827246,0.5991186773886765,0.2860907028671878,107092638.17949358,49624906.45596167,-1.6415921987977938e-07,71386.48690327676,0.4540620336916546,605.5485436178185
i_section,True,381.66143408886904,236.51620094045063,28.74834571802279,20.883882753875987,12.850569358255086,8,20514.815468527246,0.579920615729633,0.35992995511926246,487348675.8057745,63666488.47579453,9.69236786150944e-07,96725.59001015863,0.2909550575854542,752.7734020806661
