0,1,2,3
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 193.145730972443, 'b': 156.3108641136527, 't': 16.878078542020756, 'r_out': 16.203733990560792, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 10394.272581461306, 'ixx': 10049156026302.043, 'iyy': 7114596236775.416, 'ixy': 0.044921875, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 35.52226489407721, 'b': 210.2837447408549, 't': 2.6948233386853917, 'r_out': 12.61768462790397, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1235.0164625954358, 'ixx': 59805300678.25659, 'iyy': 1050414673506.1729, 'ixy': -0.00042724609375, 'g_eff': 76923.07692307676})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 72.0497245666811, 'b': 30.932925358897897, 't': 7.714149529427833, 'r_out': 11.026477852543726, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1240.2030141633008, 'ixx': 120424831439.52881, 'iyy': 28028770436.261864, 'ixy': 6.103515625e-05, 'g_eff': 76923.07692307694})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 288.5493184882541, 'b': 133.57403147634568, 't': 12.346548785046672, 'r_out': 17.102110939331624, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 9543.917172506644, 'ixx': 19078087513912.016, 'iyy': 5567679778619.8, 'ixy': -0.01953125, 'g_eff': 76923.07692307685})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 169.58563596711033, 'b': 189.33917199514093, 't': 7.222865801268599, 'r_out': 17.89907537083311, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4769.85683142493, 'ixx': 4219366623813.502, 'iyy': 4993415119049.125, 'ixy': 0.0302734375, 'g_eff': 76923.0769230769})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 44.91624546302158, 'b': 96.1437435667754, 't': 19.74949767343102, 'r_out': 19.78018969050965, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3620.3022547123037, 'ixx': 119341292693.33173, 'iyy': 501158331149.00977, 'ixy': -0.0015869140625, 'g_eff': 76923.07692307702})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 153.9891256724123, 'b': 293.7081621638602, 't': 17.02883488797309, 'r_out': 8.42170667383666, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 14016.676374846867, 'ixx': 10329707042652.518, 'iyy': 29738079675891.195, 'ixy': -0.09375, 'g_eff': 76923.076923077})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 263.31016426552014, 'b': 154.2527774547994, 't': 3.052082254781845, 'r_out': 15.028076588117395, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 2429.193419332, 'ixx': 4633023340952.7, 'iyy': 2069517125135.7358, 'ixy': 0.0048828125, 'g_eff': 76923.0769230761})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 21.564897446848548, 'b': 54.71971012986162, 't': 16.590652722247324, 'r_out': 10.738571991134062, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 814.5091124193729, 'ixx': 6926386153.39259, 'iyy': 42717368616.56532, 'ixy': 4.57763671875e-05, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 265.3030652548206, 'b': 43.844354598261155, 't': 9.354906137776728, 'r_out': 13.66080717164073, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 5265.9562466692505, 'ixx': 6794928996936.535, 'iyy': 294699690683.9453, 'ixy': -0.01171875, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 298.3681568998216, 'b': 255.2880586460779, 't': 15.2794110246104, 'r_out': 9.706794144961918, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 15891.018309703453, 'ixx': 40666394165372.72, 'iyy': 31781234233786.266, 'ixy': 0.2421875, 'g_eff': 76923.0769230769})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 88.88082899825613, 'b': 188.07188498509066, 't': 9.629012621337994, 'r_out': 19.994750164785362, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4670.349301338836, 'ixx': 1147255601470.0225, 'iyy': 3779054125901.3154, 'ixy': 0.00048828125, 'g_eff': 76923.07692307704})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 262.6257179162493, 'b': 68.22756270391919, 't': 5.143428397809398, 'r_out': 15.832231261523724, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 3161.2118553075284, 'ixx': 4615690619865.887, 'iyy': 541657836925.42957, 'ixy': 0.00244140625, 'g_eff': 76923.07692307694})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 285.6296948978327, 'b': 143.04409672057852, 't': 8.183141770863104, 'r_out': 9.857359098439533, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 6653.5770588301375, 'ixx': 13965132368320.617, 'iyy': 4720061262185.61, 'ixy': -0.04296875, 'g_eff': 76923.07692307707})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 233.18659981125003, 'b': 180.69283872526864, 't': 18.29653945325072, 'r_out': 12.637088030187778, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 13646.37353440538, 'ixx': 19525741980347.43, 'iyy': 12880933423525.992, 'ixy': 0.01953125, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 31.227966166320464, 'b': 230.86773449633043, 't': 9.901106236723361, 'r_out': 19.009163615550005, 'n_r': 4})","('valid', False)","('stiffness_props', {'area': None, 'ixx': None, 'iyy': None, 'ixy': None, 'g_eff': None})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 50.54652029947303, 'b': 44.91925518919935, 't': 12.452500631789773, 'r_out': 18.80069403407737, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1444.1496345449436, 'ixx': 60717698981.81882, 'iyy': 49807951204.63745, 'ixy': 0.000274658203125, 'g_eff': 76923.07692307692})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 89.06396118815466, 'b': 56.59722691275923, 't': 11.190329711540013, 'r_out': 13.118681780783954, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 2590.718255873335, 'ixx': 439063576025.1538, 'iyy': 202848969678.8308, 'ixy': -0.0009765625, 'g_eff': 76923.07692307666})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 85.04899082665554, 'b': 196.33758365931118, 't': 3.11338102075535, 'r_out': 14.436476539724438, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1633.1553127280195, 'ixx': 432186051367.57935, 'iyy': 1546553062133.6704, 'ixy': 0.0009765625, 'g_eff': 76923.07692307713})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 34.538119768562154, 'b': 254.10246399720336, 't': 11.125138227959152, 'r_out': 9.06191299048787, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 5845.139715773883, 'ixx': 163528791758.32544, 'iyy': 6635914864415.094, 'ixy': 0.00390625, 'g_eff': 76923.07692307686})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 95.03356043651766, 'b': 246.15354309645312, 't': 19.893540264887122, 'r_out': 16.669407092989097, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 11713.95785407212, 'ixx': 2835582065427.0566, 'iyy': 14743409679948.414, 'ixy': -0.0703125, 'g_eff': 76923.07692307695})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 235.49106118267298, 'b': 121.37131589103299, 't': 6.844527247915269, 'r_out': 14.694544954217188, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4543.411440861323, 'ixx': 6417005549975.939, 'iyy': 2293562584659.2256, 'ixy': -0.0087890625, 'g_eff': 76923.07692307685})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 288.78697641954074, 'b': 190.42162642292246, 't': 11.331203578598634, 'r_out': 16.6026133221477, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 10098.576764248624, 'ixx': 22748474072882.945, 'iyy': 11871749263125.797, 'ixy': -0.0546875, 'g_eff': 76923.07692307683})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 258.38064955184706, 'b': 110.98936159955228, 't': 6.9298699776330945, 'r_out': 10.571548406961924, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 4828.784096266385, 'ixx': 7922143734814.426, 'iyy': 2096738031071.6128, 'ixy': 0.0322265625, 'g_eff': 76923.07692307697})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 128.06050193514815, 'b': 279.7011281119731, 't': 17.365216701107016, 'r_out': 9.658628862491517, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 12862.246020520788, 'ixx': 6399930760598.238, 'iyy': 23483213637372.305, 'ixy': -0.09765625, 'g_eff': 76923.07692307688})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 133.32273586697656, 'b': 211.5711264208856, 't': 9.510652243546202, 'r_out': 17.66663988789377, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 5952.931115442464, 'ixx': 3361007778565.839, 'iyy': 6918647835173.246, 'ixy': -0.00390625, 'g_eff': 76923.0769230768})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 249.91855230773285, 'b': 130.90392176854238, 't': 2.159362288429003, 'r_out': 19.321151695583392, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 1547.2361090540794, 'ixx': 2550261726065.839, 'iyy': 970462026063.9133, 'ixy': 0.001953125, 'g_eff': 76923.07692307698})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 189.10427479135504, 'b': 23.71019098398845, 't': 19.794026217915434, 'r_out': 13.342009306409745, 'n_r': 4})","('valid', False)","('stiffness_props', {'area': None, 'ixx': None, 'iyy': None, 'ixy': None, 'g_eff': None})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 153.25488647633645, 'b': 251.94268214640567, 't': 8.277368950946592, 'r_out': 18.01910060406715, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 6204.093549055474, 'ixx': 4835764953740.637, 'iyy': 10424859739636.61, 'ixy': -0.017578125, 'g_eff': 76923.07692307688})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 204.17749882181135, 'b': 56.67160606110336, 't': 14.621697761001023, 'r_out': 13.763277232243354, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 6583.509563823415, 'ixx': 5222841936422.762, 'iyy': 535252459845.8695, 'ixy': 0.00537109375, 'g_eff': 76923.07692307702})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 152.09096962017702, 'b': 192.03595286471625, 't': 15.819888886303637, 'r_out': 9.052927039720423, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 9805.06832750689, 'ixx': 6498948563620.402, 'iyy': 9523123126522.816, 'ixy': -0.064453125, 'g_eff': 76923.07692307705})"
"('section_type', 'rectangular_hollow_section')","('section_params', {'d': 271.6931533512577, 'b': 106.76893402962578, 't': 13.604692962952466, 'r_out': 18.37847473444286, 'n_r': 4})","('valid', True)","('stiffness_props', {'area': 9242.39097024247, 'ixx': 15211496672101.57, 'iyy': 3303643906978.667, 'ixy': -0.005859375, 'g_eff': 76923.07692307698})"
